SubhaloID,StellarMass,GasMass,SFR,GasMetallicity,StarMetallicity
254114,39193500000.0,72213120000.0,7.00522,0.026637653,0.02479587
254115,43561600000.0,12210293000.0,0.18780093,0.02306381,0.022232143
254116,27792153000.0,13649269000.0,0.91469264,0.031081708,0.023462072
255615,87941330000.0,65026974000.0,0.25991985,0.012645435,0.021092769
255616,50783840000.0,59456668000.0,2.620124,0.028703483,0.02453233
255617,36988030000.0,1123324900.0,0.030012783,0.008210337,0.023995616
257303,47855310000.0,20170732000.0,0.23300292,0.0066704648,0.02544545
258265,65262535000.0,73940890000.0,0.09936476,0.011340731,0.022372046
258266,51179532000.0,19062219000.0,0.7324452,0.014038907,0.021101458
259117,69834390000.0,14478535000.0,0.0060603293,0.010625252,0.023778109
260018,46839525000.0,2806270500.0,0.017319081,0.013776801,0.022190252
260863,64466470000.0,181989030000.0,4.2762213,0.011119797,0.026453558
260864,37163300000.0,86828010000.0,0.63444775,0.011823719,0.02096162
260865,34576097000.0,130972980000.0,5.8506002,0.01654948,0.018233696
260866,41931756000.0,134366010000.0,6.347184,0.011069563,0.019974321
260867,85472710000.0,18181712000.0,1.170756,0.023760244,0.023270976
260868,26015586000.0,25440310000.0,1.1637802,0.020518055,0.020121533
263557,84653760000.0,806353600000.0,0.10219201,0.008629984,0.02857935
263561,34132623000.0,3222568700.0,0.06296459,0.031810336,0.027145356
264415,81317260000.0,18301647000.0,0.1032619,0.0072861933,0.026025997
264416,38638936000.0,4457198600.0,8.208443,0.019970164,0.031587597
265268,44161233000.0,54761476000.0,0.23365128,0.014628961,0.022520853
265928,25303802000.0,20330625000.0,5.04784,0.027492346,0.022783976
266561,44364040000.0,69219000000.0,1.7372679,0.0107063595,0.020195084
269441,46306947000.0,6002725400.0,0.46078688,0.035474204,0.026681533
